epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4444,3.59308,3.72485,2.82392,0.45886,0.41953,0.37442,0.15803,3.76726,5.7796,3.2092,0.000662132,0.000662132,0.000662132
2,73.2723,3.7591,3.38776,2.85823,0.42381,0.43764,0.34,0.14685,3.72489,6.60445,3.01825,0.00131564,0.00131564,0.00131564
3,104.937,3.71482,3.32681,2.8714,0.48409,0.45134,0.40807,0.19587,3.67221,3.88649,3.02201,0.00195595,0.00195595,0.00195595
4,136.651,3.62217,3.1911,2.79095,0.50491,0.49312,0.45424,0.21675,3.58605,3.57337,2.89094,0.0019406,0.0019406,0.0019406
5,168.533,3.5763,3.07436,2.77585,0.51222,0.464,0.44132,0.18978,3.78936,3.8053,3.04004,0.0019208,0.0019208,0.0019208
6,200.356,3.54737,3.03308,2.7654,0.5815,0.55486,0.56553,0.27571,3.34377,2.99861,2.75349,0.001901,0.001901,0.001901
7,232.179,3.49539,2.91527,2.70847,0.56235,0.51392,0.52419,0.26428,3.30976,3.00553,2.72946,0.0018812,0.0018812,0.0018812
8,266.898,3.40855,2.864,2.70614,0.59545,0.57637,0.58052,0.29397,3.30722,2.76128,2.71591,0.0018614,0.0018614,0.0018614
9,301.329,3.3809,2.77689,2.66373,0.58533,0.55961,0.56406,0.27884,3.36566,3.0942,2.75272,0.0018416,0.0018416,0.0018416
10,335.595,3.37151,2.75251,2.65639,0.61923,0.58035,0.60604,0.30611,3.22718,2.68308,2.65256,0.0018218,0.0018218,0.0018218
11,369.82,3.35186,2.67997,2.6375,0.63469,0.58729,0.62602,0.32824,3.16417,2.51575,2.60801,0.001802,0.001802,0.001802
12,403.86,3.30524,2.65417,2.6231,0.63383,0.58107,0.61466,0.32415,3.11368,2.53795,2.6034,0.0017822,0.0017822,0.0017822
13,437.6,3.26382,2.60711,2.61593,0.66023,0.60561,0.65222,0.33775,3.12816,2.40344,2.57656,0.0017624,0.0017624,0.0017624
14,471.184,3.27698,2.5797,2.59226,0.64328,0.58566,0.61054,0.31032,3.1829,2.77734,2.62254,0.0017426,0.0017426,0.0017426
15,504.515,3.23661,2.54963,2.59566,0.61903,0.59384,0.61635,0.33088,3.13182,2.44887,2.60177,0.0017228,0.0017228,0.0017228
16,537.771,3.19405,2.46392,2.57429,0.65271,0.60645,0.64984,0.35187,3.05122,2.35806,2.53511,0.001703,0.001703,0.001703
17,571.287,3.18512,2.47144,2.55035,0.66858,0.59925,0.64587,0.35218,3.06188,2.33727,2.54183,0.0016832,0.0016832,0.0016832
18,604.843,3.14842,2.39596,2.52356,0.6677,0.59957,0.64441,0.33219,3.12864,2.44424,2.55432,0.0016634,0.0016634,0.0016634
19,638.296,3.17259,2.4184,2.52094,0.67768,0.59482,0.65382,0.35224,3.0919,2.37256,2.57083,0.0016436,0.0016436,0.0016436
20,672.126,3.13662,2.37055,2.54083,0.66811,0.58582,0.65331,0.35595,3.05113,2.43026,2.54347,0.0016238,0.0016238,0.0016238
21,706.085,3.11165,2.35587,2.50219,0.6782,0.62335,0.66658,0.36865,2.99178,2.286,2.50792,0.001604,0.001604,0.001604
22,740.451,3.10149,2.31247,2.51077,0.69829,0.63462,0.68676,0.38006,2.99961,2.15709,2.48337,0.0015842,0.0015842,0.0015842
23,774.396,3.10447,2.31844,2.5032,0.70245,0.63872,0.69714,0.39058,2.96221,2.11354,2.47255,0.0015644,0.0015644,0.0015644
24,808.199,3.0754,2.24281,2.46773,0.68601,0.62611,0.6756,0.36883,3.03168,2.22415,2.49887,0.0015446,0.0015446,0.0015446
25,839.812,3.06717,2.22395,2.47153,0.69191,0.64842,0.69673,0.38283,2.96345,2.19187,2.46835,0.0015248,0.0015248,0.0015248
26,871.256,3.06557,2.21838,2.46208,0.72131,0.63626,0.71064,0.39079,2.92446,2.07784,2.44775,0.001505,0.001505,0.001505
27,902.887,3.00999,2.17582,2.44498,0.70806,0.63912,0.70124,0.39726,2.89365,2.13974,2.42441,0.0014852,0.0014852,0.0014852
28,934.9,3.02536,2.20807,2.4506,0.72888,0.63217,0.71128,0.39712,2.93374,2.03405,2.45782,0.0014654,0.0014654,0.0014654
29,966.661,2.99857,2.1334,2.42584,0.68853,0.66476,0.70362,0.39615,2.93127,2.09678,2.45261,0.0014456,0.0014456,0.0014456
30,998.089,2.99916,2.17476,2.44286,0.72167,0.64183,0.7163,0.40175,2.89546,2.02173,2.42803,0.0014258,0.0014258,0.0014258
31,1029.95,3.00698,2.16067,2.43693,0.70573,0.65827,0.71634,0.40341,2.91498,2.03774,2.44575,0.001406,0.001406,0.001406
32,1062.06,2.96161,2.09795,2.4138,0.71979,0.65952,0.72178,0.40682,2.89052,1.98919,2.42932,0.0013862,0.0013862,0.0013862
33,1094.17,2.9211,2.05768,2.38949,0.728,0.6795,0.73712,0.42537,2.86479,1.9362,2.41027,0.0013664,0.0013664,0.0013664
34,1126.03,2.92077,2.06093,2.41213,0.74515,0.67589,0.74502,0.42649,2.82814,1.90315,2.38656,0.0013466,0.0013466,0.0013466
