epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1341,3.66893,5.2874,3.03151,0.06763,0.41074,0.0458,0.01756,4.54908,55.0329,4.01681,0.00058,0.00058,0.00058
2,28.6689,3.94026,4.02836,3.01531,0.06763,0.41074,0.0458,0.01756,nan,nan,nan,0.00117416,0.00117416,0.00117416
3,38.6382,4.04796,4.04331,3.10494,0.06763,0.41074,0.0458,0.01756,nan,nan,nan,0.00176238,0.00176238,0.00176238
4,48.76,4.08563,4.10917,3.17228,0.03722,0.01185,0.02029,0.01019,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,58.3808,3.89307,3.98193,3.04501,0.1965,0.13902,0.07096,0.02798,5.71634,9.26579,5.18947,0.0019604,0.0019604,0.0019604
6,68.0167,3.90843,3.72151,3.015,0.34507,0.27172,0.1903,0.07392,4.95117,6.84487,3.75782,0.0019505,0.0019505,0.0019505
7,78.3195,3.79587,3.70078,2.93443,0.37592,0.36019,0.27504,0.10887,4.1321,6.25559,3.30905,0.0019406,0.0019406,0.0019406
8,88.5346,3.75534,3.54589,2.85656,0.48261,0.44708,0.40566,0.16944,3.86919,5.12144,3.14604,0.0019307,0.0019307,0.0019307
9,98.9253,3.71551,3.44773,2.88501,0.46026,0.48736,0.40209,0.17463,3.76628,4.84185,3.02521,0.0019208,0.0019208,0.0019208
10,109.011,3.64073,3.38491,2.80389,0.49605,0.47867,0.43904,0.18449,3.86564,4.22668,3.05837,0.0019109,0.0019109,0.0019109
11,119.122,3.66253,3.23895,2.83392,0.5006,0.44471,0.42317,0.17846,3.917,3.62723,3.10874,0.001901,0.001901,0.001901
12,128.977,3.60849,3.29459,2.84244,0.5397,0.47788,0.46435,0.20458,3.69842,4.32449,2.98802,0.0018911,0.0018911,0.0018911
13,139.077,3.57627,3.17678,2.78266,0.47632,0.45577,0.42851,0.17611,4.04825,3.86901,3.1424,0.0018812,0.0018812,0.0018812
14,148.556,3.5895,3.1932,2.80855,0.53872,0.46524,0.45888,0.20683,3.71306,4.36907,2.96138,0.0018713,0.0018713,0.0018713
15,158.939,3.48337,3.16712,2.79551,0.53591,0.47946,0.46984,0.21171,3.64133,3.33342,2.8906,0.0018614,0.0018614,0.0018614
16,169.299,3.47728,3.04847,2.75532,0.48983,0.47324,0.44976,0.20734,3.63839,3.35005,2.92283,0.0018515,0.0018515,0.0018515
17,179.14,3.53489,3.21031,2.7672,0.59957,0.47073,0.51096,0.22707,3.66512,3.23659,2.96394,0.0018416,0.0018416,0.0018416
18,189.275,3.4661,3.01567,2.642,0.53006,0.51896,0.49281,0.23015,3.55463,3.41913,2.82848,0.0018317,0.0018317,0.0018317
19,199.403,3.50174,3.06751,2.74094,0.5377,0.50346,0.48923,0.21821,3.6623,4.37456,2.88377,0.0018218,0.0018218,0.0018218
20,209.563,3.43763,3.02372,2.70668,0.52425,0.46288,0.46773,0.21623,3.57223,3.26059,2.82915,0.0018119,0.0018119,0.0018119
21,219.371,3.41298,2.97139,2.71719,0.52138,0.38626,0.40448,0.18264,3.65881,3.80066,2.90854,0.001802,0.001802,0.001802
22,229.144,3.43121,2.95253,2.7161,0.53293,0.55292,0.5283,0.24913,3.50797,3.24611,2.79631,0.0017921,0.0017921,0.0017921
23,239.546,3.38377,2.98418,2.7107,0.50501,0.48183,0.47223,0.2196,3.61479,3.23063,2.90027,0.0017822,0.0017822,0.0017822
24,249.985,3.42914,2.91495,2.68058,0.56019,0.50711,0.52894,0.2438,3.60119,3.14889,2.8605,0.0017723,0.0017723,0.0017723
25,259.65,3.44899,2.95608,2.73209,0.507,0.5466,0.52339,0.2496,3.47565,3.19785,2.80519,0.0017624,0.0017624,0.0017624
26,269.725,3.38597,2.88041,2.68972,0.53014,0.54818,0.52939,0.2451,3.60542,3.17999,2.8492,0.0017525,0.0017525,0.0017525
27,279.253,3.38842,2.9553,2.69248,0.56595,0.51343,0.52593,0.24802,3.52855,3.14413,2.81669,0.0017426,0.0017426,0.0017426
28,289.581,3.36726,2.81852,2.6864,0.54644,0.55055,0.56287,0.26918,3.44639,3.01724,2.76688,0.0017327,0.0017327,0.0017327
29,299.946,3.33448,2.84086,2.63323,0.57098,0.51301,0.53034,0.25596,3.46492,2.89027,2.78601,0.0017228,0.0017228,0.0017228
